config_name,num_layers,hidden_size,param_count,prefill_latency_mean,prefill_latency_std,prefill_latency_p50,prefill_latency_p95,prefill_latency_p99,decode_latency_mean,decode_latency_std,decode_latency_p50,decode_latency_p95,decode_latency_p99,total_time_50tok,total_time_100tok,total_time_200tok,throughput_batch1,throughput_batch8,throughput_batch16,throughput_batch32,peak_memory_gb
deep-100L,100,512,321964544,72.95629770087544,0.26862581116390166,72.85258300544228,73.44512091513025,73.65935618901858,67.48793443560135,1.2498050447179665,67.05669399525505,69.71265780302927,73.0131834684289,3571.547112800181,7083.4646439994685,14195.936523011187,14.845877458151593,110.20615503866875,223.463016787881,447.06518317307933,2.0003299713134766
baguette-80L,80,576,320956992,60.728659393498674,0.489635600438682,60.71055348729715,61.37516089947894,61.47029378218576,57.48856384388637,2.130864304597275,58.700368492281996,60.05136055755429,60.40849662211258,2815.9416774113197,5702.270303596742,11460.662380000576,17.53060441064794,134.84272122560438,270.388335369885,539.2397011437207,1.6450600624084473
deep-60L,60,672,333135264,47.638250995078124,1.1325464967374639,47.548735499731265,49.41920395067427,49.53018078871537,43.52925457060337,1.0666082495564861,43.553466006414965,45.36379757919349,46.16495906520868,2115.179316402646,4370.793240796775,8477.387515408918,24.616956995015652,183.85839729673782,367.1550759235583,747.9078359252497,1.6046452522277832
medium-48L,48,768,352396032,35.7356302003609,0.0754839012577926,35.74317150923889,35.8461419964442,35.85109559644479,33.14196818426717,0.9808837418249503,32.5121295027202,34.48880754731363,34.780445697833784,1668.1120546010789,3309.548308199737,6573.367507004878,30.806937928036728,227.6120089335539,455.44045758304605,881.939365924705,1.614229679107666
medium-40L,40,832,345260864,33.22257700492628,0.32249004171103757,33.24495202105027,33.712289747199975,33.77089234709274,30.652165811043233,1.027238962314771,30.233781508286484,31.930429990461562,34.46112055476986,1563.1172912020702,3102.6774408004712,6224.2341230099555,33.03255189938021,246.4164575395374,487.2555801686753,940.9888395972052,1.462979793548584
medium-32L,32,960,372634560,26.56453930248972,0.07384127700146915,26.53300050587859,26.69618609797908,26.71595801220974,24.211623083916493,0.6339311697736569,24.12845850631129,24.376658051915,27.063421911443548,1247.6781533972826,2468.2986438041553,4975.8094613906,41.10074724864842,308.5707939058506,615.5338936945135,1264.6632511836003,1.4941625595092773
shallow-24L,24,1088,369633856,21.392308303620666,0.5339118812875259,21.129123502760194,22.406354457780253,22.503467701317277,18.51852875610348,0.4763087112710485,18.34371998847928,19.813371991040185,20.09273026458686,983.4660473919939,1890.9625311964191,3776.025193592068,54.26898066795051,401.37024267664754,782.9378553354959,1617.9314772553773,1.4361166954040527
shallow-20L,20,1216,390210752,17.63368789688684,0.1380469823042672,17.556871491251513,17.87120571389096,17.924591553455684,15.593694324372336,0.25977506829428515,15.523495501838624,15.860815504856873,16.704116135661025,791.1806451855227,1565.1896153984126,3193.536608607974,64.78181746390608,465.33584392349655,956.3754601248102,1935.2550775616087,1.461158275604248
shallow-16L,16,1344,391589184,14.980933096376248,0.10878085364783345,14.94610300869681,15.162522844912019,15.235806966375094,12.678065884392709,0.11649671367383471,12.659494997933507,12.825706059811637,13.141511529684067,650.3116102016065,1312.5308017944917,2544.3094545975327,80.26167217881492,605.8706317759079,1223.2959511159804,2497.9887531249365,1.4456920623779297
wide-12L,12,1536,397972992,11.459449501126073,0.015728486497611317,11.453943501692265,11.484326551726554,11.486357308749575,8.941626119078137,0.229730882930428,8.794859008048661,9.264507518673781,9.40183113736566,451.3231930031907,895.6358666007873,1784.866202797275,115.41594083067557,848.9354055207967,1661.5404789503111,3555.8340218474627,1.4317207336425781
wide-10L,10,1792,454625024,11.847793206106871,0.3437339903369668,12.065892005921341,12.13467067136662,12.165610151423607,7.604007764719427,0.09899969811741112,7.589371991343796,7.799566496396437,7.965632227715104,375.8975660020951,743.6232214095071,1475.702616997296,135.2621785728244,969.0521731218365,1974.678690075739,3984.654410969928,1.5306401252746582
wide-8L,8,2048,486557696,14.526255402597599,0.10555715397631273,14.495354509563185,14.726904702547472,14.772183334862348,6.323868004838005,0.3083571580980979,6.24270700791385,6.642966993968002,7.736711605102746,322.2694423981011,602.9317938024178,1210.4118485935032,168.23107045799424,1275.3218388923267,2549.5936676131178,5057.124776019088,1.591282844543457
